Layer,Run_1
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul,88650
__module.model.layers.4/aten::add/Add_1,487
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1,326
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul,4568
__module.model.layers.5.self_attn/aten::view/Reshape,2
__module.model.layers.5.self_attn/aten::add/Add,708
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul,1352
__module.model.layers.5.self_attn/aten::view/Reshape_1,1
__module.model.layers.5.self_attn/aten::add/Add_1,197
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul,2217
__module.model.layers.5.self_attn/aten::view/Reshape_2,1
__module.model.layers.5.self_attn/aten::transpose/Transpose_2,120
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,30254
__module.model.layers.5.self_attn/aten::transpose/Transpose_3,291
__module.model.layers.5.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul,4346
__module.model.layers.5/aten::add/Add,283
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1,201
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul,88891
__module.model.layers.5/aten::add/Add_1,609
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1,566
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul,7216
__module.model.layers.6.self_attn/aten::view/Reshape,1
__module.model.layers.6.self_attn/aten::add/Add,598
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul,1240
__module.model.layers.6.self_attn/aten::view/Reshape_1,1
__module.model.layers.6.self_attn/aten::add/Add_1,187
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul,2479
__module.model.layers.6.self_attn/aten::view/Reshape_2,2
__module.model.layers.6.self_attn/aten::transpose/Transpose_2,203
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29698
__module.model.layers.6.self_attn/aten::transpose/Transpose_3,284
__module.model.layers.6.self_attn/aten::reshape/Reshape_2,0
__module.model.layers.6.self_attn.o_proj/ov_ext::linear/MatMul,4303
__module.model.layers.6/aten::add/Add,298
__module.model.layers.6.post_attention_layernorm/aten::mul/Multiply_1,225
__module.model.layers.6.mlp.down_proj/ov_ext::linear/MatMul,88790
__module.model.layers.6/aten::add/Add_1,428
__module.model.layers.7.input_layernorm/aten::mul/Multiply_1,293
__module.model.layers.7.self_attn.q_proj/ov_ext::linear/MatMul,4785
__module.model.layers.7.self_attn/aten::view/Reshape,1
__module.model.layers.7.self_attn/aten::add/Add,576
__module.model.layers.7.self_attn.k_proj/ov_ext::linear/MatMul,1237
__module.model.layers.7.self_attn/aten::view/Reshape_1,0
__module.model.layers.7.self_attn/aten::add/Add_1,183
__module.model.layers.7.self_attn.v_proj/ov_ext::linear/MatMul,1648
__module.model.layers.7.self_attn/aten::view/Reshape_2,1
__module.model.layers.7.self_attn/aten::transpose/Transpose_2,225
__module.model.layers.7.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,35047
__module.model.layers.7.self_attn/aten::transpose/Transpose_3,290
__module.model.layers.7.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.7.self_attn.o_proj/ov_ext::linear/MatMul,5568
__module.model.layers.7/aten::add/Add,292
__module.model.layers.7.post_attention_layernorm/aten::mul/Multiply_1,214
__module.model.layers.7.mlp.down_proj/ov_ext::linear/MatMul,88079
__module.model.layers.7/aten::add/Add_1,835
__module.model.layers.8.input_layernorm/aten::mul/Multiply_1,413
__module.model.layers.8.self_attn.q_proj/ov_ext::linear/MatMul,4673
__module.model.layers.8.self_attn/aten::view/Reshape,1
__module.model.layers.8.self_attn/aten::add/Add,581
__module.model.layers.8.self_attn.k_proj/ov_ext::linear/MatMul,1290
__module.model.layers.8.self_attn/aten::view/Reshape_1,0
__module.model.layers.8.self_attn/aten::add/Add_1,180
__module.model.layers.8.self_attn.v_proj/ov_ext::linear/MatMul,1410
__module.model.layers.8.self_attn/aten::view/Reshape_2,1
__module.model.layers.8.self_attn/aten::transpose/Transpose_2,212
__module.model.layers.8.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29639
__module.model.layers.8.self_attn/aten::transpose/Transpose_3,287
__module.model.layers.8.self_attn/aten::reshape/Reshape_2,3
__module.model.layers.8.self_attn.o_proj/ov_ext::linear/MatMul,4350
__module.model.layers.8/aten::add/Add,277
__module.model.layers.8.post_attention_layernorm/aten::mul/Multiply_1,205
__module.model.layers.8.mlp.down_proj/ov_ext::linear/MatMul,89980
__module.model.layers.8/aten::add/Add_1,428
__module.model.layers.9.input_layernorm/aten::mul/Multiply_1,291
__module.model.layers.9.self_attn.q_proj/ov_ext::linear/MatMul,4700
__module.model.layers.9.self_attn/aten::view/Reshape,1
__module.model.layers.9.self_attn/aten::add/Add,582
__module.model.layers.9.self_attn.k_proj/ov_ext::linear/MatMul,1447
__module.model.layers.9.self_attn/aten::view/Reshape_1,1
__module.model.layers.9.self_attn/aten::add/Add_1,136
__module.model.layers.9.self_attn.v_proj/ov_ext::linear/MatMul,1277
__module.model.layers.9.self_attn/aten::view/Reshape_2,1
__module.model.layers.9.self_attn/aten::transpose/Transpose_2,192
__module.model.layers.9.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29727
__module.model.layers.9.self_attn/aten::transpose/Transpose_3,289
__module.model.layers.9.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.9.self_attn.o_proj/ov_ext::linear/MatMul,4336
__module.model.layers.9/aten::add/Add,365
__module.model.layers.9.post_attention_layernorm/aten::mul/Multiply_1,207
__module.model.layers.9.mlp.down_proj/ov_ext::linear/MatMul,88704
__module.model.layers.9/aten::add/Add_1,450
__module.model.layers.10.input_layernorm/aten::mul/Multiply_1,303
__module.model.layers.10.self_attn.q_proj/ov_ext::linear/MatMul,4619
__module.model.layers.10.self_attn/aten::view/Reshape,0
__module.model.layers.10.self_attn/aten::add/Add,555
__module.model.layers.10.self_attn.k_proj/ov_ext::linear/MatMul,1347
__module.model.layers.10.self_attn/aten::view/Reshape_1,0
__module.model.layers.10.self_attn/aten::add/Add_1,190
__module.model.layers.10.self_attn.v_proj/ov_ext::linear/MatMul,1322
__module.model.layers.10.self_attn/aten::view/Reshape_2,0
__module.model.layers.10.self_attn/aten::transpose/Transpose_2,222
__module.model.layers.10.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,34527
__module.model.layers.10.self_attn/aten::transpose/Transpose_3,297
